이 ##택 ##길 ( 65 ##세 ) 주민 ##과 ##장 2017 . 5 . 12 . 김 ##군 ##호 ( 32 )	SS_NAME-B SS_NAME-I SS_NAME-I O SS_AGE-B SS_AGE-I O O O O O O O O O O SS_NAME-B SS_NAME-I SS_NAME-I O SS_AGE-B O
주무관 김재 ##화 지방 ##행정 ##사 ##무 지진 ##태 행정 ##사 ##무 ##관 이 ##택 ##길 ( 65 ##세 ) 주민 ##과 ##장 2017 . 5 . 12 . 김 ##군 ##호 ( 32 )	O SS_NAME-B SS_NAME-I O O O O SS_NAME-B SS_NAME-I O O O O SS_NAME-B SS_NAME-I SS_NAME-I O SS_AGE-B SS_AGE-I O O O O O O O O O O SS_NAME-B SS_NAME-I SS_NAME-I O SS_AGE-B O
협조 ##자	O O
시행 주민 ##과 - 132 ##9	O O O O O O
우 031 ##71 서울 ##특별 ##시 종로구 세 ##증 ##대로 209 ( 세 ##증 ##로 )	O ID_INUM-B ID_INUM-I AD_METRO-B AD_METRO-I AD_METRO-I AD_CITY-B AD_ADDRESS-B AD_ADDRESS-I AD_ADDRESS-I AD_ADDRESS-I O AD_ADDRESS-I AD_ADDRESS-I AD_ADDRESS-I O
접수 http : / / www . m ##o ##i . go . kr	O O O O O O O O O O O O O O
전화 ##번 ##호 02 - 2100 - 38 ##46	O O O ID_PHONE-B ID_PHONE-I ID_PHONE-I ID_PHONE-I ID_PHONE-I ID_PHONE-I
팩스 ##번 ##호 02 - 2100 - 42 ##97 / ab ##le ##g ##uy ##46 @ m ##o ##i . go . kr / 대국민 공개	O O O ID_PHONE-B ID_PHONE-I ID_PHONE-I ID_PHONE-I ID_PHONE-I ID_PHONE-I O O O O O O O O O O O O O O O O O
※ 영수증 ##이 급히 필요 ##하 ##신 분 ##은 농협 50 ##50 ##55 - 51 - 03 ##90 ##32 ( 예금 ##주 : 푸른 ##꿈 ##고 ) 계좌 ##로 입금 ##해 주시 ##고 학교 ##에 ##서 확인 ##할 수 있 ##도록 학년 ##반 , 학생 ##이 ##름 ##으로	O O O O O O O O O SS_BRAND-B ID_ACCOUNT-B ID_ACCOUNT-I ID_ACCOUNT-I ID_ACCOUNT-I ID_ACCOUNT-I ID_ACCOUNT-I ID_ACCOUNT-I ID_ACCOUNT-I ID_ACCOUNT-I O O O O SS_BRAND-B SS_BRAND-I SS_BRAND-I O O O O O O O O O O O O O O O O O O O O O O O O O
납부 후 행정 ##실 ( ☎ ##0 ##63 - 32 ##3 - 225 ##8 ) 으로 연락 주시 ##면 입금 ##확 ##인 후 영수증 ##을 발행 ##해 드립니다 .	O O O O O O ID_PHONE-B ID_PHONE-I ID_PHONE-I ID_PHONE-I ID_PHONE-I ID_PHONE-I ID_PHONE-I ID_PHONE-I O O O O O O O O O O O O O O O
나 . 납부 ##방 ##법 : 스쿨 ##뱅 ##킹 계좌 또는 학교 ##계 ##좌 입금	O O O O O O O O O O O O O O O
( 농협 35 ##5 - 000 ##4 - 71 ##23 - 53 예금 ##주 : 가평 ##중 ##학교 3 - 1 홍길동 ##으로 입금 )	O SS_BRAND-B ID_ACCOUNT-B ID_ACCOUNT-I ID_ACCOUNT-I ID_ACCOUNT-I ID_ACCOUNT-I ID_ACCOUNT-I ID_ACCOUNT-I ID_ACCOUNT-I ID_ACCOUNT-I ID_ACCOUNT-I O O O AD_DETAIL-B AD_DETAIL-I AD_DETAIL-I AD_DETAIL-I AD_DETAIL-I AD_DETAIL-I SS_NAME-B O O O
